Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,IsAccurate,LapTimeSeconds,BestStintLap,Degradation,PitLap
SAI,Ferrari,24.0,0 days 00:01:36.200000,HARD,10.0,2.0,,,True,96.2,95.507,0.6929999999999978,False
SAI,Ferrari,25.0,0 days 00:01:36.220000,HARD,11.0,2.0,,,True,96.22,95.507,0.7129999999999939,False
SAI,Ferrari,26.0,0 days 00:01:36.221000,HARD,12.0,2.0,,,True,96.221,95.507,0.7139999999999986,False
SAI,Ferrari,27.0,0 days 00:01:36.272000,HARD,13.0,2.0,,,True,96.272,95.507,0.7650000000000006,False
SAI,Ferrari,28.0,0 days 00:01:36.534000,HARD,14.0,2.0,,,True,96.534,95.507,1.027000000000001,False
SAI,Ferrari,29.0,0 days 00:01:36.600000,HARD,15.0,2.0,,,True,96.6,95.507,1.0929999999999893,False
SAI,Ferrari,30.0,0 days 00:01:36.337000,HARD,16.0,2.0,,,True,96.337,95.507,0.8299999999999983,False
SAI,Ferrari,31.0,0 days 00:01:36.537000,HARD,17.0,2.0,,,True,96.537,95.507,1.0300000000000011,False
SAI,Ferrari,32.0,0 days 00:01:36.762000,HARD,18.0,2.0,,,True,96.762,95.507,1.2549999999999955,False
SAI,Ferrari,33.0,0 days 00:01:36.556000,HARD,19.0,2.0,,,True,96.556,95.507,1.0489999999999924,False
SAI,Ferrari,34.0,0 days 00:01:36.551000,HARD,20.0,2.0,,,True,96.551,95.507,1.043999999999997,False
SAI,Ferrari,37.0,0 days 00:01:35.302000,HARD,2.0,3.0,,,True,95.302,94.507,0.7950000000000017,False
SAI,Ferrari,38.0,0 days 00:01:35.100000,HARD,3.0,3.0,,,True,95.1,94.507,0.5929999999999893,False
SAI,Ferrari,39.0,0 days 00:01:34.709000,HARD,4.0,3.0,,,True,94.709,94.507,0.20199999999999818,False
SAI,Ferrari,40.0,0 days 00:01:34.739000,HARD,5.0,3.0,,,True,94.739,94.507,0.23199999999999932,False
SAI,Ferrari,41.0,0 days 00:01:35.041000,HARD,6.0,3.0,,,True,95.041,94.507,0.5339999999999918,False
SAI,Ferrari,42.0,0 days 00:01:34.861000,HARD,7.0,3.0,,,True,94.861,94.507,0.3539999999999992,False
SAI,Ferrari,43.0,0 days 00:01:34.795000,HARD,8.0,3.0,,,True,94.795,94.507,0.2879999999999967,False
SAI,Ferrari,44.0,0 days 00:01:34.507000,HARD,9.0,3.0,,,True,94.507,94.507,0.0,False
SAI,Ferrari,45.0,0 days 00:01:34.790000,HARD,10.0,3.0,,,True,94.79,94.507,0.28300000000000125,False
SAI,Ferrari,46.0,0 days 00:01:34.853000,HARD,11.0,3.0,,,True,94.853,94.507,0.3459999999999894,False
SAI,Ferrari,47.0,0 days 00:01:34.901000,HARD,12.0,3.0,,,True,94.901,94.507,0.39399999999999125,False
SAI,Ferrari,48.0,0 days 00:01:34.981000,HARD,13.0,3.0,,,True,94.981,94.507,0.47399999999998954,False
SAI,Ferrari,49.0,0 days 00:01:35.440000,HARD,14.0,3.0,,,True,95.44,94.507,0.9329999999999927,False
SAI,Ferrari,50.0,0 days 00:01:35.142000,HARD,15.0,3.0,,,True,95.142,94.507,0.6349999999999909,False
SAI,Ferrari,51.0,0 days 00:01:35.282000,HARD,16.0,3.0,,,True,95.282,94.507,0.7749999999999915,False
SAI,Ferrari,52.0,0 days 00:01:35.083000,HARD,17.0,3.0,,,True,95.083,94.507,0.5759999999999934,False
SAI,Ferrari,53.0,0 days 00:01:35.211000,HARD,18.0,3.0,,,True,95.211,94.507,0.7039999999999935,False
SAI,Ferrari,54.0,0 days 00:01:35.309000,HARD,19.0,3.0,,,True,95.309,94.507,0.8019999999999925,False
SAI,Ferrari,55.0,0 days 00:01:35.407000,HARD,20.0,3.0,,,True,95.407,94.507,0.8999999999999915,False
SAI,Ferrari,56.0,0 days 00:01:35.305000,HARD,21.0,3.0,,,True,95.305,94.507,0.7980000000000018,False
SAI,Ferrari,57.0,0 days 00:01:35.327000,HARD,22.0,3.0,,,True,95.327,94.507,0.8199999999999932,False
LEC,Ferrari,2.0,0 days 00:01:36.862000,SOFT,5.0,1.0,,,True,96.862,96.862,0.0,False
LEC,Ferrari,3.0,0 days 00:01:38.062000,SOFT,6.0,1.0,,,True,98.062,96.862,1.2000000000000028,False
LEC,Ferrari,4.0,0 days 00:01:37.752000,SOFT,7.0,1.0,,,True,97.752,96.862,0.8900000000000006,False
LEC,Ferrari,5.0,0 days 00:01:38.131000,SOFT,8.0,1.0,,,True,98.131,96.862,1.2690000000000055,False
LEC,Ferrari,6.0,0 days 00:01:37.782000,SOFT,9.0,1.0,,,True,97.782,96.862,0.9200000000000017,False
LEC,Ferrari,7.0,0 days 00:01:38.957000,SOFT,10.0,1.0,,,True,98.957,96.862,2.094999999999999,False
LEC,Ferrari,8.0,0 days 00:01:38.136000,SOFT,11.0,1.0,,,True,98.136,96.862,1.274000000000001,False
